"hdic_resblock_id","rent_type","n","mean_price"
1111027373922,1,4,112.424315052393
1111027373924,0,1,100
1111027373924,1,9,115.008047508049
1111027373925,1,1,167.35294117647
1111027373926,0,1,114.58333333333
1111027373926,1,1,51.47058823529
1111027373926,2,6,299.777777777778
1111027373928,1,2,121.59090909091
1111027373929,1,1,86.66666666667
1111027373930,2,2,249.583333333335
1111027373933,0,1,50.4347826087
1111027373933,1,5,55.246461239128
1111027373933,2,2,271.71717171717
1111027373938,1,1,74.07407407407
1111027373939,1,7,90.00726017591
1111027373939,2,5,230.916865742952
1111027373944,1,1,117.64705882353
1111027373950,1,1,104.16666666667
1111027373951,1,2,107.217261904765
1111027373953,0,1,87.27272727273
1111027373953,1,1,131.37254901961
1111027373954,1,1,106.25
1111027373955,0,4,38.91983081493
1111027373955,1,7,53.0736114460243
1111027373955,2,14,130.897855799172
1111027373960,0,1,57.97101449275
1111027373960,1,3,120.968265154313
1111027373961,0,6,102.048530705508
1111027373961,1,9,112.481404778197
1111027373961,2,1,427.14285714286
1111027373964,0,2,46.13100288478
1111027373964,1,4,51.7681837292425
1111027373964,2,1,138.42105263158
1111027373971,1,1,94.8275862069
1111027373972,1,2,129.642857142855
1111027373976,0,1,124.13793103448
1111027373982,1,3,72.9128272199433
1111027373982,2,3,247.60398860399
1111027373985,1,1,111.62790697674
1111027373990,1,6,112.094261511313
1111027373990,2,6,309.951178451178
1111027373991,1,4,79.4070807816225
1111027373992,1,1,65.625
1111027373992,2,3,209.62962962963
1111027373993,1,1,97.08333333333
1111027373993,2,2,210.13888888889
1111027373994,1,6,105.941553703693
1111027373994,2,7,291.008658008657
1111027373995,1,4,127.582029670952
1111027373995,2,13,304.535158554896
1111027373997,1,10,50.474460816753
1111027373997,2,3,137.80158730159
1111027373999,1,1,104.6511627907
1111027374000,1,1,106.21052631579
1111027374000,2,3,328.148148148147
1111027374001,1,3,101.813301911493
1111027374002,1,1,126.17647058824
1111027374003,0,1,128.20512820513
1111027374003,1,4,127.49026452221
1111027374004,1,1,95.97315436242
1111027374006,1,7,118.395643829854
1111027374006,2,4,268.877450980392
1111027374007,1,4,99.085041795915
1111027374009,1,1,150.9756097561
1111027374009,2,3,250.056980056977
1111027374011,0,1,131.86813186813
1111027374011,1,1,127.1186440678
1111027374016,1,2,135.49362041467
1111027374017,1,1,88.70967741935
1111027374018,1,2,77.01530612245
1111027374019,2,1,345
1111027374021,1,3,112.085035465317
1111027374022,1,1,122.5
1111027374029,1,1,101.16279069767
1111027374030,2,1,163.84615384615
1111027374031,1,1,77.57142857143
1111027374033,1,1,106.92307692308
1111027374033,2,1,166.25
1111027374037,1,4,62.3749252966775
1111027374037,2,4,130.179820179818
1111027374038,1,5,51.973184922844
1111027374040,0,9,78.5907139559211
1111027374040,1,28,82.8685064117846
1111027374041,0,9,99.0448723508833
1111027374041,1,17,99.6553112809194
1111027374043,0,2,57.045454545455
1111027374043,1,14,60.8772369934707
1111027374043,2,2,140.767045454545
1111027374044,1,3,114.030909961137
1111027374045,1,8,123.072401385587
1111027374050,1,1,112.06896551724
1111027374052,1,1,157.56097560976
1111027374054,1,1,27.34375
1111027374055,1,1,145
1111027374056,1,1,175
1111027374056,2,2,305.916666666665
1111027374059,1,3,97.7364191189767
1111027374059,2,20,254.736271245094
1111027374061,1,1,110.82191780822
1111027374061,2,2,347.27777777778
1111027374065,1,9,122.610611731259
1111027374065,2,3,368.45238095238
1111027374066,1,2,81.254901960785
1111027374067,1,1,73.33333333333
1111027374069,1,4,134.33439782804
1111027374069,2,2,299.25
1111027374072,1,13,126.208780370152
1111027374073,0,1,123.52941176471
1111027374073,1,3,123.739182102353
1111027374074,1,2,126.535087719295
1111027374075,1,11,112.210018937292
1111027374075,2,1,340.76923076923
1111027374076,2,3,276.98484848485
1111027374077,0,1,91.60305343511
1111027374077,1,1,96.63865546218
1111027374080,1,6,108.388601842938
1111027374080,2,1,203.52941176471
1111027374081,1,11,130.717207361841
1111027374084,1,9,129.857460677314
1111027374087,1,2,96.153846153845
1111027374093,1,1,97.21666666667
1111027374094,1,2,106.307651991615
1111027374103,0,2,108.20395738204
1111027374103,1,7,113.074050373244
1111027374103,2,2,295.875
1111027374105,1,1,101.5625
1111027374107,1,1,64.28571428571
1111027374108,1,2,93.747916666665
1111027374111,1,1,163.93442622951
1111027374114,0,2,87.412177985945
1111027374114,1,3,108.672687465793
1111027374116,0,5,148.31977600943
1111027374116,1,20,115.468488273844
1111027374116,2,7,291.49223792081
1111027374124,0,1,113.63636363636
1111027374124,1,5,146.60984916551
1111027374131,0,1,59.52380952381
1111027374131,1,2,45.437342304455
1111027374133,1,2,68.390804597705
1111027374133,2,5,215.136507936506
1111027374135,0,1,133.33333333333
1111027374135,1,3,111.044372294373
1111027374135,2,7,236.957199546487
1111027374136,2,3,180.78205128205
1111027374137,0,1,43.07692307692
1111027374137,1,4,51.4816692270725
1111027374137,2,16,151.659315357846
1111027374138,1,1,121.9512195122
1111027374139,1,1,61.22448979592
1111027374140,1,2,55.43064333171
1111027374142,2,3,285.29797979798
1111027374143,0,1,84.05797101449
1111027374143,1,2,113.110294117645
1111027374143,2,4,216.40404040404
1111027374145,1,2,84.4651240778
1111027374145,2,1,155.18518518519
1111027374146,0,1,147.82608695652
1111027374146,1,4,140.109753604733
1111027374146,2,1,336
1111027374151,1,1,59.45945945946
1111027374151,2,1,314.44444444444
1111027374160,1,2,112.20238095238
1111027374164,1,5,109.005681818182
1111027374166,0,1,183.33333333333
1111027374166,2,1,366.25
1111027374167,0,1,81.63265306122
1111027374167,1,2,77.807649667405
1111027374169,1,3,155.797425474257
1111027374170,0,1,155
1111027374170,1,2,148.464743589745
1111027374170,2,2,310.833333333335
1111027374172,0,1,125.86206896552
1111027374172,1,7,122.551107176083
1111027374172,2,1,263.57142857143
1111027374173,1,1,132.65306122449
1111027374174,1,2,150.30487804878
1111027374174,2,9,263.900793650794
1111027374175,1,2,127.444915254235
1111027374175,2,3,267.75462962963
1111027374176,1,1,122.80701754386
1111027374177,1,3,95.6837606837633
1111027374177,2,6,230.812719959778
1111027374182,0,1,81.15942028986
1111027374182,1,3,104.22245226593
1111027374182,2,5,221.732323232324
1111027374183,1,1,117.30158730159
1111027374184,0,2,89.001372683595
1111027374184,1,15,87.1371468548527
1111027374184,2,2,251
1111027374186,0,2,74.79296066253
1111027374186,1,13,91.0445480856331
1111027374186,2,9,216.880446623094
1111027374187,0,1,127.45098039216
1111027374187,1,11,135.707568542739
1111027374188,1,8,101.268406029177
1111027374188,2,5,265.392074592074
1111027374195,1,4,60.8235347985375
1111027374195,2,3,141.254856254857
1111027374196,0,1,334.3908045977
1111027374196,1,1,148.57142857143
1111027374197,1,2,87.70652173913
1111027374197,2,2,253
1111027374202,1,2,70.064285714285
1111027374204,1,2,80.28017883756
1111027374206,1,1,69.09090909091
1111027374209,2,4,207.247041847043
1111027374210,2,8,204.336766175003
1111027374211,1,4,96.57132498247
1111027374211,2,5,236.613386613386
1111027374212,1,5,134.842532294224
1111027374212,2,2,435.375
1111027374213,0,1,82.08955223881
1111027374213,1,15,118.843057472265
1111027374215,0,1,94.8275862069
1111027374215,1,8,102.383884694514
1111027374215,2,10,217.076548451547
1111027374216,0,2,105.662393162395
1111027374216,1,3,100.569800569803
1111027374217,0,1,78
1111027374217,1,4,83.2627826942
1111027374217,2,2,204.67948717949
1111027374219,1,2,114.814814814815
1111027374220,1,6,101.490806283062
1111027374220,2,6,264.79797979798
1111027374221,1,2,82.885784269255
1111027374222,1,1,112.06896551724
1111027374222,2,4,295.183662280702
1111027374223,0,1,54.25581395349
1111027374223,1,6,99.16468823422
1111027374223,2,2,221.89393939394
1111027374224,1,5,134.14802782356
1111027374228,0,1,130.08130081301
1111027374228,1,3,137.017848716297
1111027374229,0,1,146.1038961039
1111027374230,1,5,132.46080119463
1111027374231,1,3,132.161325440567
1111027374233,1,1,98.50746268657
1111027374235,2,4,154.444240196077
1111027374236,1,4,70.733286857365
1111027374236,2,9,231.025449858782
1111027374239,0,1,91.48936170213
1111027374239,1,4,90.842438182865
1111027374239,2,5,243.03717948718
1111027374240,1,8,103.314583852934
1111027374240,2,8,245.554690713698
1111027374243,1,1,130.23255813953
1111027374244,1,1,95.50561797753
1111027374245,0,1,72.94117647059
1111027374247,1,7,51.7264763259286
1111027374247,2,7,154.82724616653
1111027374248,1,2,76.518883415435
1111027374248,2,1,240.83333333333
1111027374249,0,2,124.86629510781
1111027374249,1,2,131.66666666667
1111027374249,2,1,171.57894736842
1111027374250,0,5,167.08118369626
1111027374250,1,9,145.991197057077
1111027374250,2,1,279.375
1111027374251,1,3,101.85581509111
1111027374252,1,2,62.93103448276
1111027374256,0,1,70.08547008547
1111027374256,1,2,65.73275862069
1111027374256,2,3,239.12962962963
1111027374258,1,3,73.98428731762
1111027374260,1,1,73.33333333333
1111027374260,2,1,149.16666666667
1111027374261,1,2,76.801242236025
1111027374261,2,19,178.03529657477
1111027374262,1,7,84.2461860801514
1111027374263,1,2,76.56411201179
1111027374263,2,9,170.881214736607
1111027374264,1,4,66.3036437700725
1111027374264,2,1,152.66666666667
