hdic_city_id,hdic_district_id,hdic_bizcircle_id,hdic_resblock_id,frame_bedroom_num,rent_type,decoration,appid,price_trans,price_listing,price_trans_per_area,price_listing_per_area,sign_date,appc_date,diff_days,pt
110000,23008617,611100351,1.11103E+12,0,2,3,500,2330,2330,211.8181818,211.8181818,2018/3/3,2017/7/20,226,2.01803E+13
110000,23008611,18335747,1.11103E+12,2,1,3,500,5090,5090,64.43037975,64.43037975,2018/1/4,2017/7/21,167,2.01803E+13
110000,23008618,18335768,1.11103E+12,2,1,3,500,7490,7490,136.1818182,136.1818182,2018/2/26,2017/7/21,220,2.01803E+13
110000,23008618,18335634,1.11103E+12,1,1,3,500,5290,5290,132.25,132.25,2018/1/28,2017/7/23,189,2.01803E+13
110000,23008613,18335710,1.11103E+12,2,1,3,500,9990,9990,116.1627907,116.1627907,2018/3/1,2017/7/18,226,2.01803E+13
110000,23008618,18335625,1.11103E+12,2,1,3,500,6260,6260,118.1132075,118.1132075,2018/1/7,2017/7/6,185,2.01803E+13
110000,23008617,18335682,1.11103E+12,1,1,3,500,5060,5060,115,115,2018/2/7,2017/7/12,210,2.01803E+13
110000,23008613,611100368,1.11103E+12,2,1,3,500,7500,7500,80.64516129,80.64516129,2018/3/8,2017/7/14,237,2.01803E+13
110000,23008623,18335694,1.11103E+12,2,1,3,500,7460,7460,83.82022472,83.82022472,2018/2/25,2017/7/23,217,2.01803E+13
110000,23008613,611100318,1.11103E+12,2,1,3,500,6490,6490,120.1851852,120.1851852,2018/1/20,2017/7/26,178,2.01803E+13
110000,23008613,18335704,1.11103E+12,1,1,3,500,5760,5760,164.5714286,164.5714286,2018/2/5,2017/5/21,260,2.01803E+13
110000,23008617,18335689,1.11104E+12,3,2,3,500,2430,2430,162,162,2018/3/8,2017/7/15,236,2.01803E+13
110000,23008618,18335766,1.11103E+12,1,1,3,500,5390,5390,168.4375,168.4375,2018/1/27,2017/7/15,196,2.01803E+13
110000,23008626,611100334,1.11103E+12,1,1,3,500,5190,5190,115.3333333,115.3333333,2018/1/14,2017/7/28,170,2.01803E+13
110000,23008626,18335674,1.11103E+12,3,2,3,500,2790,2790,232.5,232.5,2018/3/7,2017/7/25,225,2.01803E+13
110000,23008616,611100697,1.11103E+12,3,2,3,500,1390,1360,126.3636364,123.6363636,2018/3/2,2017/7/29,216,2.01803E+13
110000,23008626,18335656,1.11103E+12,1,1,3,500,5780,5780,131.3636364,131.3636364,2018/2/9,2017/7/30,194,2.01803E+13
110000,23008626,18335658,1.11103E+12,2,1,3,500,9570,8290,159.5,138.1666667,2018/2/26,2017/7/28,213,2.01803E+13
110000,23008613,18335715,1.11103E+12,0,2,3,500,3630,3630,201.6666667,201.6666667,2018/3/2,2017/7/24,221,2.01803E+13
110000,23008613,18335710,1.11103E+12,2,1,3,500,9120,9120,106.0465116,106.0465116,2018/3/5,2017/7/16,232,2.01803E+13
110000,23008618,18335754,1.11103E+12,1,1,3,500,5130,5130,171,171,2018/2/24,2017/7/13,226,2.01803E+13
110000,23008613,611100698,1.11103E+12,1,1,3,500,8537,8130,149.7719298,142.6315789,2018/2/9,2017/7/14,210,2.01803E+13
110000,23008623,18335694,1.11103E+12,2,1,3,500,4790,4790,106.4444444,106.4444444,2018/1/4,2017/7/25,163,2.01803E+13
110000,23008613,18335729,1.11103E+12,1,1,3,500,5660,5660,161.7142857,161.7142857,2018/2/10,2017/7/20,205,2.01803E+13
110000,23008613,611100318,1.11103E+12,3,2,3,500,2930,2930,266.3636364,266.3636364,2018/3/14,2017/7/24,233,2.01803E+13
110000,23008618,18335631,1.11103E+12,3,2,3,500,2690,2690,269,269,2018/3/2,2017/10/17,136,2.01803E+13
110000,23008613,18335743,1.11103E+12,3,2,3,500,2530,2530,281.1111111,281.1111111,2018/3/3,2017/7/29,217,2.01803E+13
110000,23008617,611100337,1.11103E+12,1,1,3,500,4860,4860,103.4042553,103.4042553,2018/2/25,2017/7/24,216,2.01803E+13
110000,23008623,18335694,1.11103E+12,2,1,3,500,5260,5260,89.15254237,89.15254237,2018/3/2,2017/7/24,221,2.01803E+13
110000,23008613,18335723,1.11103E+12,1,1,3,500,5190,5190,108.125,108.125,2018/3/5,2017/7/24,224,2.01803E+13
110000,23008613,611100321,1.11103E+12,3,2,3,500,2690,3130,192.1428571,223.5714286,2018/1/12,2017/7/26,170,2.01803E+13
110000,23008624,611100360,1.11103E+12,0,2,3,500,2090,2090,160.7692308,160.7692308,2018/3/3,2017/7/28,218,2.01803E+13
110000,23008613,611100328,1.11103E+12,0,2,3,500,2790,2390,253.6363636,217.2727273,2018/1/8,2017/8/5,156,2.01803E+13
110000,23008613,611100412,1.11103E+12,3,2,3,500,2830,2830,217.6923077,217.6923077,2018/3/4,2017/7/29,218,2.01803E+13
110000,23008613,18335641,1.11103E+12,3,2,3,500,2890,2690,289,269,2018/3/1,2017/8/4,209,2.01803E+13
110000,23008617,18335685,1.11103E+12,0,2,3,500,2290,2290,152.6666667,152.6666667,2018/3/8,2017/8/5,215,2.01803E+13
110000,23008613,611100316,1.11103E+12,3,2,3,500,3160,3160,351.1111111,351.1111111,2018/3/7,2017/3/13,359,2.01803E+13
110000,23008618,18335639,1.11103E+12,3,2,3,500,3530,3530,353,353,2018/3/12,2017/7/29,226,2.01803E+13
110000,23008617,18335678,1.11103E+12,2,1,3,500,5230,5230,84.35483871,84.35483871,2018/2/21,2017/7/20,216,2.01803E+13
110000,23008624,611100360,1.11103E+12,3,2,3,500,1790,1690,198.8888889,187.7777778,2018/3/1,2017/8/3,210,2.01803E+13
110000,23008613,611100323,1.11105E+12,0,2,3,500,2760,3660,162.3529412,215.2941176,2018/3/2,2017/6/30,245,2.01803E+13
110000,23008623,18335696,1.11103E+12,2,1,3,500,4800,4800,64.86486486,64.86486486,2018/3/5,2017/7/27,221,2.01803E+13
110000,23008625,611100365,1.11103E+12,1,1,3,500,3190,3190,59.07407407,59.07407407,2018/2/24,2017/7/27,212,2.01803E+13
110000,23008613,611100448,1.11103E+12,1,1,3,500,5790,5790,160.8333333,160.8333333,2018/2/27,2017/3/21,343,2.01803E+13
110000,23008626,18335669,1.11103E+12,1,1,3,500,5360,5360,172.9032258,172.9032258,2018/1/16,2017/7/31,169,2.01803E+13
110000,23008613,18335704,1.11103E+12,2,1,3,500,6660,6660,128.0769231,128.0769231,2018/1/5,2017/7/22,167,2.01803E+13
110000,23008613,18335734,1.11103E+12,3,2,3,500,2690,2690,298.8888889,298.8888889,2018/3/1,2017/7/27,217,2.01803E+13
110000,23008615,611100610,1.11105E+12,1,1,3,500,3455,3290,57.58333333,54.83333333,2018/1/20,2017/7/23,181,2.01803E+13
110000,23008626,18335669,1.11103E+12,1,1,3,500,5830,5830,104.1071429,104.1071429,2018/3/6,2017/7/27,222,2.01803E+13
110000,23008618,611100357,1.11103E+12,1,1,3,500,4960,4960,87.01754386,87.01754386,2018/1/7,2017/7/29,162,2.01803E+13
110000,23008618,611100353,1.11103E+12,1,1,3,500,5390,5390,145.6756757,145.6756757,2018/2/24,2017/4/23,307,2.01803E+13
110000,23008625,18335703,1.11103E+12,1,1,3,500,3530,3530,47.06666667,47.06666667,2018/1/14,2017/7/25,173,2.01803E+13
110000,23008618,18335631,1.11103E+12,1,1,3,500,5190,5190,96.11111111,96.11111111,2018/1/30,2017/7/24,190,2.01803E+13
110000,23008626,18335669,1.11104E+12,1,1,3,500,4578,4360,123.7297297,117.8378378,2018/1/2,2017/7/19,167,2.01803E+13
110000,23008625,611100365,1.11103E+12,2,1,3,500,3900,3900,39.79591837,39.79591837,2018/3/3,2017/7/28,218,2.01803E+13
110000,23008618,611100398,1.12002E+15,1,1,3,500,3760,3760,55.29411765,55.29411765,2018/2/1,2017/8/9,176,2.01803E+13
110000,23008614,18335666,1.11103E+12,1,1,3,500,6360,6360,104.2622951,104.2622951,2018/2/26,2017/7/26,215,2.01803E+13
110000,23008624,611100360,1.11103E+12,2,1,3,500,4190,4190,52.375,52.375,2018/1/9,2017/8/7,155,2.01803E+13
110000,23008613,18335718,1.11103E+12,1,1,3,500,4630,4630,115.75,115.75,2018/2/28,2017/8/9,203,2.01803E+13
110000,23008626,611100432,1.11103E+12,1,1,3,500,4990,4990,118.8095238,118.8095238,2018/2/27,2017/7/29,213,2.01803E+13
110000,23008617,18335689,1.11103E+12,3,2,3,500,2430,2430,173.5714286,173.5714286,2018/3/8,2017/7/31,220,2.01803E+13
110000,23008624,611100360,1.11103E+12,1,1,3,500,3390,3390,56.5,56.5,2018/1/4,2017/7/29,159,2.01803E+13
110000,23008623,18335694,1.11103E+12,2,1,3,500,7990,7990,71.98198198,71.98198198,2018/1/27,2017/7/30,181,2.01803E+13
110000,23008611,18335747,1.11103E+12,3,2,3,500,3330,3330,195.8823529,195.8823529,2018/3/1,2017/8/7,206,2.01803E+13
110000,23008618,18335631,1.11103E+12,2,1,3,500,5730,5730,97.11864407,97.11864407,2018/2/8,2017/7/30,193,2.01803E+13
110000,23008613,611100316,1.11103E+12,0,2,3,500,2760,2630,276,263,2018/3/3,2017/8/15,200,2.01803E+13
110000,23008613,18335711,1.11103E+12,1,1,3,500,5733,5460,130.2954545,124.0909091,2018/1/31,2017/7/30,185,2.01803E+13
110000,23008618,18335633,1.11105E+12,2,2,3,500,3190,3190,187.6470588,187.6470588,2018/3/15,2017/7/19,239,2.01803E+13
110000,23008625,611100346,1.11103E+12,1,1,3,500,3430,3430,76.22222222,76.22222222,2018/2/21,2017/8/1,204,2.01803E+13
110000,23008613,18335729,1.11103E+12,2,1,3,500,6630,6630,118.3928571,118.3928571,2018/2/26,2017/7/30,211,2.01803E+13
110000,23008613,18335711,1.11103E+12,2,1,3,500,7960,7960,98.27160494,98.27160494,2018/2/26,2017/8/5,205,2.01803E+13
110000,23008613,611100412,1.11103E+12,1,1,3,500,5300,5300,80.3030303,80.3030303,2018/3/3,2017/7/31,215,2.01803E+13
110000,23008611,611100309,1.11286E+15,2,1,3,500,4460,4460,49.55555556,49.55555556,2018/2/1,2017/7/31,185,2.01803E+13
110000,23008623,18335694,1.11103E+12,1,1,3,500,5390,5390,94.56140351,94.56140351,2018/2/3,2017/8/2,185,2.01803E+13
110000,23008613,18335728,1.11103E+12,1,1,3,500,5960,5960,104.5614035,104.5614035,2018/2/10,2017/7/31,194,2.01803E+13
110000,23008625,18335778,1.11103E+12,3,2,3,500,1470,1660,91.875,103.75,2018/3/8,2017/8/25,195,2.01803E+13
110000,23008617,611100341,1.11103E+12,2,1,3,500,5290,5290,115,115,2018/1/28,2017/8/1,180,2.01803E+13
110000,23008611,611100800,1.11104E+12,3,2,3,500,1830,1830,140.7692308,140.7692308,2018/1/12,2017/7/31,165,2.01803E+13
110000,23008613,18335737,1.11103E+12,1,1,3,500,5500,5500,119.5652174,119.5652174,2018/2/21,2017/7/31,205,2.01803E+13
