hdic_resblock_id,rent_type,n,mean_price
1.11103E+12,1,1,106.0416667
1.11103E+12,2,6,258.1775911
1.11103E+12,1,4,117.9656411
1.11103E+12,2,8,232.8676313
1.11103E+12,2,2,177.9761905
1.11103E+12,1,4,115.0809659
1.11103E+12,2,10,205.1827991
1.11103E+12,1,3,129.2058405
1.11103E+12,2,2,270.2922078
1.11103E+12,1,7,140.6052625
1.11103E+12,1,1,109.6721311
1.11103E+12,2,3,237.1864478
1.11103E+12,1,2,130.9585933
1.11103E+12,1,5,90.71622678
1.11103E+12,1,4,99.84784209
1.11103E+12,2,3,258.655303
1.11103E+12,1,1,130.2222222
1.11103E+12,1,1,101.5384615
1.11103E+12,1,2,118.4489796
1.11103E+12,2,14,282.2109253
1.11103E+12,1,3,70.76470588
1.11103E+12,2,2,183.5909091
1.11103E+12,2,3,197.625
1.11103E+12,1,3,108.5404123
1.11103E+12,2,8,313.0615793
1.11103E+12,1,2,151.6704545
1.11103E+12,2,2,272.6060606
1.11103E+12,1,1,96.09195402
1.11103E+12,1,2,82.7598852
1.11103E+12,1,2,125.6669151
1.11103E+12,1,1,142.25
1.11103E+12,2,1,224.375
1.11103E+12,2,3,210.4100529
1.11103E+12,1,2,112.5648286
1.11103E+12,1,1,119.4
1.11103E+12,2,4,234.96875
1.11103E+12,1,1,108.7755102
1.11103E+12,2,6,258.8095238
1.11103E+12,1,1,52.16666667
1.11103E+12,2,16,132.491481
1.11103E+12,2,3,166.3333333
1.11103E+12,1,1,49.24050633
1.11103E+12,2,2,177.6923077
1.11103E+12,1,2,90.79166667
1.11103E+12,1,4,143.2684169
1.11103E+12,2,12,305.6087558
1.11103E+12,1,2,86.18492901
1.11103E+12,2,2,207.5
1.11103E+12,2,4,169.1319073
1.11103E+12,1,2,106.1736111
1.11103E+12,2,2,153.9761905
1.11103E+12,2,4,315.875
1.11103E+12,2,6,251.5618156
1.11103E+12,1,2,85.9989858
1.11103E+12,2,3,168.122807
1.11103E+12,1,2,87.53623188
1.11103E+12,1,1,166.6304348
1.11103E+12,2,3,360.7051282
1.11103E+12,1,1,158.3783784
1.11103E+12,2,1,336.6666667
1.11103E+12,1,1,143.6842105
